country,population_2014,population_2019,item,element,unit,food_supply_kcal_capita_2014,food_supply_kcal_capita_2019,food_supply_kcal_2014,food_supply_kcal_2019
Afghanistan,33371.0,38042.0,"Vegetables, other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,26.0,29.0,316690790000.0,402674570000.0
Afghanistan,33371.0,38042.0,Wheat and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1358.0,1387.0,16541003570000.0,19258952710000.0
Afghanistan,33371.0,38042.0,Wine,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,Apples and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,36.0,43.0,38053440000.0,45217295000.0
Albania,2896.0,2881.0,"Aquatic Animals, Others",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,Aquatic Plants,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,Bananas,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,9.0,14.0,9513360000.0,14721910000.0
Albania,2896.0,2881.0,Barley and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,1057040000.0,1051565000.0
Albania,2896.0,2881.0,Beans,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,52.0,46.0,54966080000.0,48371990000.0
Albania,2896.0,2881.0,Beer,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,38.0,38.0,40167520000.0,39959470000.0
Albania,2896.0,2881.0,"Beverages, Alcoholic",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,15.0,6.0,15855600000.0,6309390000.0
Albania,2896.0,2881.0,"Beverages, Fermented",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,Bovine Meat,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,60.0,59.0,63422400000.0,62042335000.0
Albania,2896.0,2881.0,"Butter, Ghee",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,31.0,30.0,32768240000.0,31546950000.0
Albania,2896.0,2881.0,Cassava and products,Food supply (kcal/capita/day),kcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,Cephalopods,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,2.0,1057040000.0,2103130000.0
Albania,2896.0,2881.0,"Cereals, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,2.0,0.0,2103130000.0
Albania,2896.0,2881.0,"Citrus, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Albania,2896.0,2881.0,Cocoa Beans and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,13.0,14.0,13741520000.0,14721910000.0
Albania,2896.0,2881.0,Coconuts - Incl Copra,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
