Timestamp,CPU,Memory,ResponseTimeCpus,ResponseTimeMems
2025-01-10 11:51:47,72500,1200m,0.9021663665771484,0.2038440704345703
2025-01-10 11:52:05,83000,950m,0.8168168067932129,0.24944782257080078
2025-01-10 11:52:26,45000,600m,1.834920883178711,0.7860612869262695
2025-01-10 11:52:44,114500,1500m,0.7052302360534668,0.14233160018920898
2025-01-10 11:53:05,29800,450m,2.4543206691741943,1.5087075233459473
2025-01-10 11:53:24,68500,1050m,1.0464675426483154,0.20229530334472656
2025-01-10 11:53:48,19000,275m,4.216098785400391,3.1333014965057373
2025-01-10 11:54:07,80500,900m,0.9009535312652588,0.2587766647338867
2025-01-10 11:54:27,55000,750m,1.5045769214630127,0.5120129585266113
2025-01-10 11:54:47,41000,600m,1.6704812049865723,0.8255608081817627
2025-01-10 11:55:10,23500,400m,3.2850069999694824,2.018115758895874
